Unit,,F,f_contrast,Score,f_gj,Score
中下层,,7,0,-3.005,7,3.005
中产阶级,,7,0,-3.005,7,3.005
排放,,7,0,-3.005,7,3.005
中产阶层,,7,0,-3.005,7,3.005
税负,,7,0,-3.005,7,3.005
重振,,7,0,-3.005,7,3.005
第三周,,7,0,-3.005,7,3.005
412,,7,0,-3.005,7,3.005
砸毁,,7,0,-3.005,7,3.005
资产阶级,,7,0,-3.005,7,3.005
薛晟,,7,0,-3.005,7,3.005
卢浮宫,,7,0,-3.005,7,3.005
全国性,,7,0,-3.005,7,3.005
极左,,7,0,-3.005,7,3.005
电台,,7,0,-3.005,7,3.005
比上,,7,0,-3.005,7,3.005
驱散,,7,0,-3.005,7,3.005
马赛,,7,0,-3.005,7,3.005
图卢兹,,7,0,-3.005,7,3.005
打折,,7,0,-3.005,7,3.005
上周末,,7,0,-3.005,7,3.005
解决方案,,7,0,-3.005,7,3.005
冲撞,,7,0,-3.005,7,3.005
黑色,,7,0,-3.005,7,3.005
全球化,,7,0,-3.005,7,3.005
高等,,7,0,-3.005,7,3.005
意法,,7,0,-3.005,7,3.005
销量,,7,0,-3.005,7,3.005
笼罩,,7,0,-3.005,7,3.005
冈松堡,,7,0,-3.005,7,3.005
轮,,7,0,-3.005,7,3.005
却,,34,12,-2.9797,22,2.9797
明显,,17,4,-2.937,13,2.937
那些,,17,4,-2.937,13,2.937
下滑,,17,4,-2.937,13,2.937
已经,,163,83,-2.8866,80,2.8866
收入,,19,5,-2.8655,14,2.8655
依然,,19,5,-2.8655,14,2.8655
趋势,,19,5,-2.8655,14,2.8655
尽管,,51,21,-2.8553,30,2.8553
再次,,66,29,-2.8491,37,2.8491
大多数,,12,2,-2.8312,10,2.8312
出动,,12,2,-2.8312,10,2.8312
安抚,,12,2,-2.8312,10,2.8312
对于,,45,18,-2.7991,27,2.7991
必须,,23,7,-2.7802,16,2.7802
司机,,23,7,-2.7802,16,2.7802
直接,,23,7,-2.7802,16,2.7802
汽车,,58,25,-2.7447,33,2.7447
应该,,27,9,-2.7414,18,2.7414
5,,181,94,-2.7388,87,2.7388
广场,,29,10,-2.7331,19,2.7331
议题,,31,11,-2.7302,20,2.7302
让,,146,74,-2.7283,72,2.7283
非,,14,3,-2.7023,11,2.7023
民意调查,,14,3,-2.7023,11,2.7023
公平,,14,3,-2.7023,11,2.7023
景点,,14,3,-2.7023,11,2.7023
困境,,14,3,-2.7023,11,2.7023
实际上,,14,3,-2.7023,11,2.7023
跨年,,9,1,-2.6545,8,2.6545
不景气,,9,1,-2.6545,8,2.6545
春天,,9,1,-2.6545,8,2.6545
第五次,,9,1,-2.6545,8,2.6545
整体,,9,1,-2.6545,8,2.6545
全,,9,1,-2.6545,8,2.6545
加班,,9,1,-2.6545,8,2.6545
困局,,9,1,-2.6545,8,2.6545
财富,,9,1,-2.6545,8,2.6545
本杰明,,9,1,-2.6545,8,2.6545
操作,,9,1,-2.6545,8,2.6545
负担,,9,1,-2.6545,8,2.6545
季,,9,1,-2.6545,8,2.6545
导火索,,9,1,-2.6545,8,2.6545
进行,,178,93,-2.5888,85,2.5888
精英,,6,0,-2.5757,6,2.5757
对立,,6,0,-2.5757,6,2.5757
席位,,6,0,-2.5757,6,2.5757
地铁站,,6,0,-2.5757,6,2.5757
香榭丽舍,,6,0,-2.5757,6,2.5757
大道,,6,0,-2.5757,6,2.5757
巴黎市,,6,0,-2.5757,6,2.5757
汽油,,6,0,-2.5757,6,2.5757
税费,,6,0,-2.5757,6,2.5757
宣泄,,6,0,-2.5757,6,2.5757
营业额,,6,0,-2.5757,6,2.5757
吴,,6,0,-2.5757,6,2.5757
预订,,6,0,-2.5757,6,2.5757
5600,,6,0,-2.5757,6,2.5757
革命,,6,0,-2.5757,6,2.5757
退休者,,6,0,-2.5757,6,2.5757
减弱,,6,0,-2.5757,6,2.5757
国务秘书,,6,0,-2.5757,6,2.5757
法兰西,,6,0,-2.5757,6,2.5757
空空如也,,6,0,-2.5757,6,2.5757
烧毁,,6,0,-2.5757,6,2.5757
水炮,,6,0,-2.5757,6,2.5757
第七次,,6,0,-2.5757,6,2.5757
阻力,,6,0,-2.5757,6,2.5757
征收,,6,0,-2.5757,6,2.5757
爱德华,,6,0,-2.5757,6,2.5757
怒火,,6,0,-2.5757,6,2.5757
组织者,,6,0,-2.5757,6,2.5757
4000,,6,0,-2.5757,6,2.5757
罗马,,6,0,-2.5757,6,2.5757
塔雷,,6,0,-2.5757,6,2.5757
的确,,6,0,-2.5757,6,2.5757
费朗,,6,0,-2.5757,6,2.5757
辆,,6,0,-2.5757,6,2.5757
数千,,6,0,-2.5757,6,2.5757
打翻,,6,0,-2.5757,6,2.5757
烟雾弹,,6,0,-2.5757,6,2.5757
鞭炮,,6,0,-2.5757,6,2.5757
浓雾,,6,0,-2.5757,6,2.5757
害怕,,6,0,-2.5757,6,2.5757
使领馆,,6,0,-2.5757,6,2.5757
外地,,6,0,-2.5757,6,2.5757
新闻动态,,6,0,-2.5757,6,2.5757
商业区,,6,0,-2.5757,6,2.5757
意外事件,,6,0,-2.5757,6,2.5757
攻击,,18,5,-2.5621,13,2.5621
共有,,18,5,-2.5621,13,2.5621
成本,,18,5,-2.5621,13,2.5621
这是,,57,25,-2.5515,32,2.5515
执政,,40,16,-2.5452,24,2.5452
媒体,,162,84,-2.5433,78,2.5433
暂停,,34,13,-2.5005,21,2.5005
利益,,34,13,-2.5005,21,2.5005
遭到,,32,12,-2.4901,20,2.4901
仅,,28,10,-2.4791,18,2.4791
当选,,11,2,-2.4764,9,2.4764
分裂,,11,2,-2.4764,9,2.4764
变得,,11,2,-2.4764,9,2.4764
起因,,11,2,-2.4764,9,2.4764
风波,,11,2,-2.4764,9,2.4764
又,,71,33,-2.4287,38,2.4287
2019,,105,52,-2.4236,53,2.4236
会,,166,87,-2.4004,79,2.4004
虽然,,45,19,-2.3966,26,2.3966
正是,,13,3,-2.3717,10,2.3717
退休,,13,3,-2.3717,10,2.3717
身着,,13,3,-2.3717,10,2.3717
波,,13,3,-2.3717,10,2.3717
晚间,,13,3,-2.3717,10,2.3717
国内,,54,24,-2.3347,30,2.3347
国民,,15,4,-2.3068,11,2.3068
新一轮,,15,4,-2.3068,11,2.3068
原本,,15,4,-2.3068,11,2.3068
来看,,15,4,-2.3068,11,2.3068
人们,,52,23,-2.3061,29,2.3061
内部,,35,14,-2.2885,21,2.2885
削减,,8,1,-2.273,7,2.273
倾听,,8,1,-2.273,7,2.273
穿着,,8,1,-2.273,7,2.273
始于,,8,1,-2.273,7,2.273
订单,,8,1,-2.273,7,2.273
富有,,8,1,-2.273,7,2.273
发酵,,8,1,-2.273,7,2.273
失望,,8,1,-2.273,7,2.273
不足,,8,1,-2.273,7,2.273
表态,,17,5,-2.2664,12,2.2664
团结,,17,5,-2.2664,12,2.2664
以,,199,107,-2.2465,92,2.2465
要,,109,55,-2.2433,54,2.2433
超过,,59,27,-2.2424,32,2.2424
彻底,,19,6,-2.2421,13,2.2421
他们,,168,89,-2.2347,79,2.2347
各国,,25,9,-2.226,16,2.226
同时,,93,46,-2.2258,47,2.2258
逐渐,,23,8,-2.2245,15,2.2245
评论,,23,8,-2.2245,15,2.2245
图源,,23,8,-2.2245,15,2.2245
大使,,57,26,-2.2116,31,2.2116
至,,75,36,-2.1972,39,2.1972
指出,,64,30,-2.1646,34,2.1646
荧光,,5,0,-2.1464,5,2.1464
实行,,5,0,-2.1464,5,2.1464
紧急会议,,5,0,-2.1464,5,2.1464
点燃,,5,0,-2.1464,5,2.1464
巴士底,,5,0,-2.1464,5,2.1464
从未见过,,5,0,-2.1464,5,2.1464
化解,,5,0,-2.1464,5,2.1464
每升,,5,0,-2.1464,5,2.1464
调,,5,0,-2.1464,5,2.1464
拉大,,5,0,-2.1464,5,2.1464
富裕,,5,0,-2.1464,5,2.1464
势必,,5,0,-2.1464,5,2.1464
触动,,5,0,-2.1464,5,2.1464
过高,,5,0,-2.1464,5,2.1464
商铺,,5,0,-2.1464,5,2.1464
戴高乐,,5,0,-2.1464,5,2.1464
借此,,5,0,-2.1464,5,2.1464
矛头,,5,0,-2.1464,5,2.1464
油库,,5,0,-2.1464,5,2.1464
大区,,5,0,-2.1464,5,2.1464
受伤者,,5,0,-2.1464,5,2.1464
咨询,,5,0,-2.1464,5,2.1464
高福利,,5,0,-2.1464,5,2.1464
威信,,5,0,-2.1464,5,2.1464
一年多来,,5,0,-2.1464,5,2.1464
严阵以待,,5,0,-2.1464,5,2.1464
起义,,5,0,-2.1464,5,2.1464
联合会,,5,0,-2.1464,5,2.1464
回声,,5,0,-2.1464,5,2.1464
不够,,5,0,-2.1464,5,2.1464
第四轮,,5,0,-2.1464,5,2.1464
旷日持久,,5,0,-2.1464,5,2.1464
失业,,5,0,-2.1464,5,2.1464
镇长,,5,0,-2.1464,5,2.1464
暴乱,,5,0,-2.1464,5,2.1464
人报,,5,0,-2.1464,5,2.1464
BFM,,5,0,-2.1464,5,2.1464
玛丽娜,,5,0,-2.1464,5,2.1464
大革命,,5,0,-2.1464,5,2.1464
迈出,,5,0,-2.1464,5,2.1464
封堵,,5,0,-2.1464,5,2.1464
极化,,5,0,-2.1464,5,2.1464
松散,,5,0,-2.1464,5,2.1464
德鲁,,5,0,-2.1464,5,2.1464
